Platform,Page,Section,Data Point,Description
CollegeDunia,College Detail,Overview,Accreditations,"AICTE, UGC, NAAC, NBA details"
CollegeDunia,College Detail,Overview,Website Link,Official institutional website URL
CollegeDunia,College Detail,Overview,Contact Details,Admission phone number and email
CollegeDunia,College Detail,Overview,Description,Long-form institutional history and about section
CollegeDunia,College Detail,Overview,Tab Bar,"Navigation: Overview, Courses, Admission, Placement, Cutoff, Reviews, Ranking, Gallery, etc."
CollegeDunia,College Detail,Courses & Fees,Course Title,Full degree name
CollegeDunia,College Detail,Courses & Fees,Specialization,Branch or major name
CollegeDunia,College Detail,Courses & Fees,First Year Fees,Fee amount for 1st year
CollegeDunia,College Detail,Courses & Fees,Total Fees,Full program fee
CollegeDunia,College Detail,Courses & Fees,Eligibility,Minimum marks and subject requirements
CollegeDunia,College Detail,Courses & Fees,Seats,Total intake for the course
CollegeDunia,College Detail,Courses & Fees,Apply Link,Direct application URL
CollegeDunia,College Detail,Admissions,Important Dates,"Application start, end, result, and counselling dates"
CollegeDunia,College Detail,Admissions,Admission Process,Textual step-by-step procedure
CollegeDunia,College Detail,Admissions,Counselling Schedule,Round-wise dates for seat allotment
CollegeDunia,College Detail,Placements,Highest Package,Highest salary offered in LPA
CollegeDunia,College Detail,Placements,Average Package,Mean salary offered in LPA
CollegeDunia,College Detail,Placements,Median Package,Median salary offered in LPA
CollegeDunia,College Detail,Placements,Recruiter Logos,Logos of top hiring companies
CollegeDunia,College Detail,Placements,Historical Data,Table showing last 3-5 years placement trends
CollegeDunia,College Detail,Cutoffs,Closing Rank,Last admitted rank for the year
CollegeDunia,College Detail,Cutoffs,Category,"General, OBC, SC, ST, EWS filter"
CollegeDunia,College Detail,Cutoffs,Round,"Counselling round number (1, 2, 3...)"
CollegeDunia,College Detail,Reviews,Reviewer Name,Name of the student/alumni
CollegeDunia,College Detail,Reviews,Rating Parameters,"Placement, Faculty, Infra, Social Life, Value for Money scores"
CollegeDunia,College Detail,Reviews,Review Text,Detailed feedback with pros and cons
CollegeDunia,College Detail,Reviews,Verified Tag,Identity verification checkmark
CollegeDunia,College Detail,Rankings,Agency Name,"NIRF, Outlook, The Week, India Today, etc."
CollegeDunia,College Detail,Rankings,Rank,Position in the list
CollegeDunia,College Detail,Rankings,Year,Academic year of the ranking
CollegeDunia,Exams Page,Dates,Timeline,Visual timeline of exam events
CollegeDunia,Exams Page,Predictor,Input Field,Enter Rank or Percentile
CollegeDunia,Exams Page,Predictor,Output List,Recommended colleges with admission probability
Careers360,Homepage,Hero,Predictor Tools,"JEE, NEET, CAT rank predictor icons"
Careers360,Homepage,Trending,Countdown Timer,Days remaining for exam application
Careers360,College Listing,College Card,Careers360 Rating,"Proprietary rating (AAAAA, AAAA+, etc.)"
Careers360,College Listing,College Card,Quick Links,"Courses, Fees, Cut-off, Admission links directly on card"
Careers360,College Detail,Overview,Campus Area,Size of campus in acres
Careers360,College Detail,Overview,Student-Faculty Ratio,Numeric ratio of students per teacher
Careers360,College Detail,Placements,Recruitment Graph,Visual representation of sector-wise placements
Careers360,College Detail,Cutoff,Historical Trend,Interactive chart showing cutoff movement over 3-5 years
Careers360,College Detail,Facilities,Facility Icons,List of campus amenities with standard icons
Careers360,Premium Tools,Companion,Pricing,Subscription cost for paid counselling tools
Careers360,Premium Tools,Companion,Features,"List of services (webinars, choice filling, priority support)"
CollegeDekho,Homepage,Hero,WhatsApp Button,Floating button for direct counselor chat
CollegeDekho,Homepage,Hero,Callback Form,Input fields for Name and Phone
CollegeDekho,College Listing,College Card,Shortlist Count,Number of students who saved the college
CollegeDekho,College Listing,College Card,Shortlist Icon,Heart icon to save college
CollegeDekho,College Detail,Overview,Highlights Table,Table with key institutional data
CollegeDekho,College Detail,Overview,Video Tour,Embedded campus walkthrough video
CollegeDekho,College Detail,Reviews,Student Testimonial,Video or text feedback from alumni
CollegeDekho,Admission/Forms,CAF,Form Fields,"Personal, Academic, Document Upload, Course Selection"
CollegeDekho,Admission/Forms,CAF,Partner List,Colleges where this form is accepted
CollegeDekho,Admission/Forms,CAF,Payment Status,Tracking for application fee payment
